Date,kNDVI,NIRv,Tropomi_SIF,,,,,,,,,
1/1/01,0.255,0.103,,,,,,,,,,
1/2/01,,,,,,,,,,,,
1/3/01,,,,,,,,,,,,
1/4/01,,,,,,,,,,,,
1/5/01,,,,,,,,,,,,
1/6/01,0.188,0.088,,,,,,,,,,
1/7/01,,,,,,,,,,,,
1/8/01,,,,,,,,,,,,
1/9/01,,,,,,,,,,,,
1/10/01,0.351,0.121,,,,,,,,,,
1/11/01,,,,,,,,,,,,
1/12/01,,,,,,,,,,,,
1/13/01,,,,,,,,,,,,
1/14/01,,,,,,,,,,,,
1/15/01,,,,,,,,,,,,
1/16/01,0.384,0.13,,,,,,,,,,
1/17/01,,,,,,,,,,,,
1/18/01,,,,,,,,,,,,
1/19/01,,,,,,,,,,,,
1/20/01,,,,,,,,,,,,
1/21/01,,,,,,,,,,,,
1/22/01,0.246,0.091,,,,,,,,,,
1/23/01,,,,,,,,,,,,
1/24/01,,,,,,,,,,,,
1/25/01,,,,,,,,,,,,
1/26/01,0.329,0.116,,,,,,,,,,
1/27/01,0.277,0.107,,,,,,,,,,
1/28/01,,,,,,,,,,,,
1/29/01,,,,,,,,,,,,
1/30/01,,,,,,,,,,,,
1/31/01,,,,,,,,,,,,
2/1/01,,,,,,,,,,,,
2/2/01,,,,,,,,,,,,
2/3/01,,,,,,,,,,,,
2/4/01,,,,,,,,,,,,
2/5/01,,,,,,,,,,,,
2/6/01,,,,,,,,,,,,
2/7/01,,,,,,,,,,,,
2/8/01,,,,,,,,,,,,
2/9/01,0.382,0.13,,,,,,,,,,
2/10/01,,,,,,,,,,,,
2/11/01,,,,,,,,,,,,
2/12/01,0.253,0.102,,,,,,,,,,
2/13/01,0.582,0.153,,,,,,,,,,
2/14/01,,,,,,,,,,,,
2/15/01,,,,,,,,,,,,
2/16/01,,,,,,,,,,,,
2/17/01,,,,,,,,,,,,
2/18/01,,,,,,,,,,,,
2/19/01,,,,,,,,,,,,
2/20/01,,,,,,,,,,,,
2/21/01,,,,,,,,,,,,
2/22/01,,,,,,,,,,,,
2/23/01,,,,,,,,,,,,
2/24/01,0.353,0.121,,,,,,,,,,
2/25/01,0.312,0.113,,,,,,,,,,
2/26/01,0.29,0.108,,,,,,,,,,
2/27/01,0.418,0.131,,,,,,,,,,
2/28/01,,,,,,,,,,,,
3/1/01,,,,,,,,,,,,
3/2/01,0.372,0.137,,,,,,,,,,
3/3/01,,,,,,,,,,,,
3/4/01,,,,,,,,,,,,
3/5/01,0.316,0.114,,,,,,,,,,
3/6/01,0.39,0.127,,,,,,,,,,
3/7/01,,,,,,,,,,,,
3/8/01,,,,,,,,,,,,
3/9/01,,,,,,,,,,,,
3/10/01,,,,,,,,,,,,
3/11/01,,,,,,,,,,,,
3/12/01,,,,,,,,,,,,
3/13/01,,,,,,,,,,,,
3/14/01,,,,,,,,,,,,
3/15/01,,,,,,,,,,,,
3/16/01,,,,,,,,,,,,
3/17/01,,,,,,,,,,,,
3/18/01,,,,,,,,,,,,
3/19/01,,,,,,,,,,,,
3/20/01,0.258,0.099,,,,,,,,,,
3/21/01,0.308,0.113,,,,,,,,,,
3/22/01,0.4,0.129,,,,,,,,,,
3/23/01,0.297,0.108,,,,,,,,,,
3/24/01,,,,,,,,,,,,
3/25/01,,,,,,,,,,,,
3/26/01,,,,,,,,,,,,
3/27/01,,,,,,,,,,,,
3/28/01,,,,,,,,,,,,
3/29/01,,,,,,,,,,,,
3/30/01,,,,,,,,,,,,
3/31/01,,,,,,,,,,,,
4/1/01,,,,,,,,,,,,
4/2/01,,,,,,,,,,,,
4/3/01,,,,,,,,,,,,
4/4/01,,,,,,,,,,,,
4/5/01,,,,,,,,,,,,
4/6/01,,,,,,,,,,,,
4/7/01,,,,,,,,,,,,
4/8/01,,,,,,,,,,,,
4/9/01,,,,,,,,,,,,
4/10/01,,,,,,,,,,,,
4/11/01,,,,,,,,,,,,
4/12/01,,,,,,,,,,,,
4/13/01,,,,,,,,,,,,
4/14/01,,,,,,,,,,,,
4/15/01,,,,,,,,,,,,
4/16/01,,,,,,,,,,,,
4/17/01,,,,,,,,,,,,
4/18/01,,,,,,,,,,,,
4/19/01,,,,,,,,,,,,
4/20/01,,,,,,,,,,,,
