,TA,RH,P,WS,NETRAD,PPFD_IN,LE,H,USTAR,NEE,GPP,RECO,SWC_0to30cm_1
1/1/21 0:00,-0.85,93.17,0,0.32,-0.43,0,-0.098,-1.58,0.046,0.832,0,0.832,0.149
1/1/21 0:30,-0.21,89.27,0,0.8,-0.13,0,-0.178,-4.759,0.067,0.597,0,0.597,0.149
1/1/21 1:00,0.03,88.47,0,0.84,-1.33,0,0.17,-1.146,0.047,1.46,0,1.46,0.149
1/1/21 1:30,-0.04,89.83,0,0.51,-10.63,0,-0.132,-0.227,0.059,1.073,0,1.073,0.149
1/1/21 2:00,-0.12,91.07,0,,-0.9,0,-0.542,-0.047,0.084,1.032,0,1.032,0.149
1/1/21 2:30,-0.03,91,0,,1.83,0,-0.456,0.214,0.034,0.286,0,0.286,0.149
1/1/21 3:00,0.1,91.07,0,,4.03,0,-0.042,-0.817,0.027,0.221,0,0.221,0.149
1/1/21 3:30,0.28,90.4,0,0.29,2.57,0,2.224,,0.238,0.316,0,0.316,0.149
1/1/21 4:00,0.36,88.93,0,0.43,-9.3,0,0.356,-1.143,0.05,0.412,0,0.412,0.149
1/1/21 4:30,0.14,89.17,0,0.46,-36.8,0,0.608,0.146,0.062,0.508,0,0.508,0.149
1/1/21 5:00,-0.2,91.77,0,1.36,-22.87,0,0.142,-0.224,0.061,0.632,0,0.632,0.149
1/1/21 5:30,0.09,89.53,0,0.93,-16.47,0,0.192,,,0.756,0,0.756,0.149
1/1/21 6:00,-0.22,90.87,0,0.11,-18.8,0,0.242,-0.569,0.071,0.88,0,0.88,0.149
1/1/21 6:30,-0.37,92.73,0,,-20.3,0,-0.217,0.539,0.049,1.005,0,1.005,0.149
1/1/21 7:00,-0.57,93.9,0,0.33,-30.83,0,-0.064,-1.262,0.065,1.088,0,1.088,0.149
1/1/21 7:30,-0.75,94.6,0,,-39.1,3.58,0.01,-0.736,0.042,1.171,0,1.171,0.149
1/1/21 8:00,-1.04,94.9,0,0.29,-18.96,31.65,0.034,-1.707,0.071,-0.266,-0.85,0.584,0.149
